prompt_id,split,category,source_row,field,n_tokens,distinct_tokens,repeated_4gram_fraction,top20_token_share,text_sha256
human-00023,human_context,closed_qa,4906,context,169,115,0.012048,0.390533,edffc0d01e48d04b352ec3b8b7e244c8830fcb5d84e1102107661ba015e3f946
human-00024,human_response,summarization,7494,response,569,297,0.017668,0.370826,41c63ea35759a63dc738968cc63a2ced6ead141c0cba2ca4633ec630523e5e05
human-00025,human_context,closed_qa,14612,context,309,142,0.042484,0.485437,856e5299eba183c211d0311c94e0d5e1f0e709df0fc4505dfe7b9f6865eea6d3
human-00026,human_response,closed_qa,13764,response,208,106,0.073171,0.466346,346133eb0224052ed85fa286b7207d369c9f580f8719745232a9704641d16418
human-00027,human_context,information_extraction,12767,context,141,80,0.0,0.574468,f10a8a7fd3ae1d1716dd134aa9af2d967dab0da89423b33160a14f5ec1fde0f1
human-00028,human_context,closed_qa,393,context,267,169,0.011364,0.359551,843bc0da86bcf629a69c39692edf98c4ffb9796f3bd2c847e74e0095e0206712
human-00029,human_context,closed_qa,13858,context,128,73,0.008,0.507812,4315cda1ea219a554221529aa4da043adcd0c2e44124e27321c1408e8ff5a83c
human-00030,human_context,information_extraction,11754,context,148,89,0.0,0.472973,58f2bd77a95d7156066f64a1b5ee67faa3fa3d5890888c517fa203488112dd8c
human-00031,human_response,open_qa,1672,response,247,130,0.008197,0.481781,5609be9eb56b7d425f0b0ea77db06591990d76fc43d5194b670f4a2025815f56
human-00032,human_response,open_qa,9459,response,158,92,0.03871,0.449367,23d771f075c4e294f9785289ef8cf9398a7ae5add50962a99d475a21b37326ce
human-00033,human_context,closed_qa,6659,context,244,141,0.020747,0.45082,88b8ebe6bfad62f792d115f69ead28d0a16847e648a4afc1990f5e27763a1fc0
human-00034,human_response,summarization,3267,response,325,128,0.080745,0.581538,0002489da89bcd2efc159780e69db706737195afa12401c3dea79c682b03031c
human-00035,human_response,general_qa,10715,response,244,126,0.029046,0.446721,0bde1eeade6ece106ea9f873844dbd14a07515a813dd7ca1d4ce0fbe798843be
human-00036,human_context,information_extraction,11678,context,139,80,0.022059,0.52518,e19929b12276ade9cf4a9bdabdf05923bd0fafe3f2d4f86fb3a48a5cdec251d8
human-00037,human_context,closed_qa,787,context,187,118,0.016304,0.417112,c499b78775af1a48a39d7d59971b707ab1951b35ee3ce7735a76185ace9bd2d4
human-00038,human_context,information_extraction,228,context,347,164,0.034884,0.469741,d0b4349acbb72dc551e271824e3eb26f94cdc7eb59d66e094e32d8c411af9f7b
human-00039,human_context,information_extraction,12236,context,606,310,0.054726,0.40099,13436a2c0a5b19bfd553f6de1adf6d8c5bf78f32d22fa28827bc22c94a576da1
human-00040,human_response,brainstorming,4754,response,189,111,0.0,0.449735,24fc2cfdbcc53c2478a51f2a3c2aafd39a059603b3c4c2a29fc3566570909b0b
human-00041,human_context,information_extraction,10139,context,205,118,0.00495,0.458537,d5546d601a21f1a4c41bb165062b5f5a0c1529993b2dca0d0600d4d310e228f8
human-00042,human_response,general_qa,14853,response,162,98,0.0,0.450617,1fc04799a2bfcc5410aedd0ef10b068c290d6eb0989aae946fb7fba67a805632
human-00043,human_response,brainstorming,173,response,210,124,0.009662,0.428571,5e65f015c45b1a7314469f87f1c8e717580251005ba00e4cc1cef7cad93499ff
human-00044,human_context,summarization,6121,context,688,319,0.014599,0.424419,b725f9ddccf93676837cf65dca9782055af444664cde9e45221da211b5b6a319
human-00045,human_response,open_qa,9033,response,227,149,0.017857,0.396476,612cad056c1954bfcdc8f9754f411e65a576ee5e360c74bcd7fb5d0d73eb2a3c
human-00046,human_context,closed_qa,1561,context,590,248,0.010221,0.428814,4e6eb9a8f745e348a023aa6e6899cd1aefd06ed84d8d47104c12a8592ee7f3b6
human-00047,human_response,creative_writing,9748,response,252,116,0.048193,0.539683,30a5647a0b23a125a8f70925c82b21de25ba1c1ac110f0ba8ebea3d0aad09cce
human-00048,human_context,summarization,13656,context,688,278,0.065693,0.388081,da22e5a4afe609189eeceb7bedc20aad029276011515814268b033a4447afd83
human-00049,human_response,general_qa,11946,response,174,111,0.0,0.436782,8c34cd0bfce0daacdc12714d65cd2bc392a01cfd64b59b65dc02568308919ad4
human-00050,human_context,closed_qa,9226,context,657,271,0.122324,0.462709,75f331ef902d280eea10936adf70b54620b140a303d4c29ae6ab0789e8d6cd64
human-00051,human_context,information_extraction,9354,context,562,271,0.048301,0.421708,e455e16347da22e243e6a5592b021a46275d746945a726da61a551bec323d33e
human-00052,human_context,closed_qa,13241,context,390,206,0.005168,0.389744,a888608ca7bc479b7f758218e7b33efd0f0cdc253cef9dda2112b5d95115f68d
human-00053,human_response,summarization,8454,response,138,93,0.0,0.463768,19353205849e4cb15553fa0d7dcac3e54630804032d717fd0a66a81b07da671a
human-00054,human_context,summarization,2258,context,317,186,0.012739,0.400631,9f6829b8ab975e13a9bd1ca3f9aad5f8a4c24483839c2df20530e9edfaf5fdfa
human-00055,human_context,summarization,9993,context,202,99,0.030151,0.519802,9dffe65a419129dac379152386b0b47c07005adbdfea87390f809c12994aa628
human-00056,human_response,general_qa,275,response,266,141,0.072243,0.402256,741b29affe7642da83331e783c1cf960c1dd400d220c3e1368f49fec79063e40
human-00057,human_response,closed_qa,7046,response,329,192,0.009202,0.367781,102adbb367880d68e2835e3546d2af42c61bdeffdb3f3da93e014950d5628f50
human-00058,human_response,brainstorming,3457,response,281,150,0.032374,0.469751,c468a512bb21521481c8f64a005102c0021a6ed75a8422467b4b041cacee132a
human-00059,human_context,information_extraction,7157,context,410,201,0.186732,0.434146,e2ec09f52955c1137a9c872430ce2d97393619271bd1e5727113bfb4faf19848
human-00060,human_response,creative_writing,1762,response,152,94,0.006711,0.480263,b2d4a52c842cfdd36bdaa7bacd4f6f0ec4dac9fb03a1cff0b5a717821b335d76
human-00061,human_context,information_extraction,1512,context,193,137,0.005263,0.357513,2aecd0479fe17385fb59f353e0ffc0da67b1ea944a04a78417bab1f018511a43
human-00062,human_context,information_extraction,13380,context,218,139,0.018605,0.426606,08bc97213e4ef737562475e135df33a881ab90387787afd8cd866ac80a629065
human-00063,human_response,open_qa,12285,response,173,106,0.011765,0.433526,95fe184be02a413a8c00603a77cb3582d4924145717f1f2398ea75e0accaf596
human-00064,human_response,summarization,6226,response,214,121,0.047393,0.476636,63db9dff157e8e29ba96aade122d1ecd3fde5464ff4bd3a07e7f234e689e5872
human-00065,human_context,closed_qa,12190,context,295,156,0.030822,0.450847,929464f39bbda79d5c1dfbeacadb830064eec782576dc05157e6b89b954e62c8
human-00066,human_context,information_extraction,13481,context,211,132,0.0,0.417062,9f615610e2993b31ae004dd6bae7c0bc9ff980474e71d4e5b28d655c4e48d4d2
human-00067,human_context,summarization,3734,context,138,99,0.0,0.427536,672a5132270e5b6853efd30aeaed8a8667464d621b8ec5b8963be06c7a373d21
human-00068,human_response,summarization,4412,response,218,148,0.0,0.357798,003893fe7ebbc608d76202e0c6c4a637ad8c59ae5a2770633474144798786800
human-00069,human_context,summarization,6781,context,954,401,0.07571,0.439203,3d9c477e3d8becab45356169ca1e4c3a059efc7b24920bf5b6a7ec63902f472e
human-00070,human_response,open_qa,293,response,154,86,0.046358,0.5,e0368b6df0fd9a4a1aee2ea44d116317a7c22a235ba535040a95e5ddc3d4269e
human-00071,human_response,general_qa,6865,response,147,84,0.0,0.530612,a5d5d3a3ada8838821bba5b7233b779828964fe217711effaf9ff207a9ec0a63
human-00072,human_context,closed_qa,5758,context,713,330,0.059155,0.42777,833661b8912c308d93a55208c4751b3987f9b0c242e19ab2293be9b7807dc2a3
human-00073,human_response,creative_writing,9819,response,244,128,0.012448,0.45082,7c59407d34f0456966dc429f7669c1bd59377bfb25731e1a99e71ade28f63b81
human-00074,human_context,closed_qa,2601,context,741,385,0.017615,0.383266,75ef80a9c76daa2b2bc5dd53f2752b2cc64486e1f46e8d1b20baf87eb96e90d9
human-00075,human_context,closed_qa,2954,context,131,73,0.015625,0.48855,2d21dea95065748d58179882d81d78150880c893203cdb9167876e61e78d0ef6
human-00076,human_context,information_extraction,10318,context,155,89,0.032895,0.535484,02f7152904aaf108158d37863cc3a463366ef77abc9d427210ae701f55af9947
human-00077,human_context,information_extraction,4709,context,151,103,0.0,0.443709,9b875d5c8e5294a2dad3cb6e13c6787ea51e2d3f4cd7a5a4ab0aec85eb5817ae
human-00078,human_context,closed_qa,6623,context,242,149,0.0,0.409091,40bd9fdbdb2f1561d1de9ea85ea9e8151a6e3c5198da0d0f33594cf8d670915e
human-00079,human_context,information_extraction,9066,context,325,190,0.015528,0.412308,3d8c4097272162694f9168b7cf3c31c0d47acf5b3e71bd8bbd22d80c046d5ace
human-00080,human_context,closed_qa,6595,context,152,98,0.026846,0.453947,062abbb2857e287cf0ebdb9424931e25c6454d4ddf541a3570dc436576143c8c
human-00081,human_context,information_extraction,2292,context,171,95,0.011905,0.491228,49cdfce26a63678b332e9a0cac62146b314f69d89aebbbb19e93ecbdba1c33df
human-00082,human_response,brainstorming,3760,response,181,103,0.044944,0.491713,fa989082d9007d29d1ab7842e5754ee020b57d62176031b668550e0104a52774
human-00083,human_response,creative_writing,2543,response,259,127,0.015625,0.498069,a92b73e0a4a932ffaaf61805d20c6ab107dd9eea30a9dd752861d5a87ac4e660
human-00084,human_context,closed_qa,631,context,178,107,0.005714,0.47191,2fb8402f8b6b43e244246980dd5c93c646bac2b841db68cb5222eeaba93ded2e
human-00085,human_context,information_extraction,3903,context,132,85,0.007752,0.454545,f49bd2bb4b6ac93f577293cb5eef3be5e930b3648d07e7523b64cc0fd4210eb6
human-00086,human_context,summarization,5014,context,135,91,0.007576,0.474074,07f75c3c05be4d83a26fa34834099ea9b30db927cd831824fb8486918aef438e
human-00087,human_context,summarization,10804,context,183,120,0.0,0.442623,853686830b89b853615678d486aefb9b4bfa1e5dff3cb8447d14c60a0ca4a20f
human-00088,human_response,general_qa,7015,response,129,76,0.039683,0.565891,a6b3b6766071950569b7b3ba8ddf2c0d937a7c6d01a1c7da7ee32ab0339c9c34
human-00089,human_response,creative_writing,14936,response,149,101,0.0,0.42953,d0f1449c0fefea75378e7e2826b448a2c0bc09c744a30b8b0b2fad2c237e8605
human-00090,human_response,general_qa,395,response,167,100,0.006098,0.449102,7f9720d0c3fafd4b0c1b5fbac03f00f700d22bde71aedde1e9d15f00238996c0
human-00091,human_context,summarization,13035,context,208,124,0.0,0.456731,7a8a105eda14ce3b42725cd21db8ba82ac4f6a2b7d820a00f681820ec2278db3
human-00092,human_response,creative_writing,7847,response,338,189,0.0,0.387574,1533c876f3049ae757234476e633e6d0b054f7d4643b5db000b284565ad7487f
human-00093,human_response,general_qa,4804,response,318,190,0.003175,0.415094,5df376da26ac6280d2ba5294f3643590133b1bb98d52c4ee9580b261088fadac
human-00094,human_context,closed_qa,7163,context,1384,573,0.028965,0.338873,01b90d4d8203b02646fb32558bc060ebcfa6b35bc279c967ffa3911f1ebfb8f7
human-00095,human_response,brainstorming,14167,response,355,202,0.048295,0.433803,a004ab5806c09c5603aa7549010fc7834969e3a7048cc8240101986f2396c37a
human-00096,human_response,summarization,11210,response,280,169,0.00361,0.371429,59fa7faf6aca5c446be1d18c26f25f4e715de678897e16321264e0e1e834785b
human-00097,human_response,summarization,4168,response,519,235,0.071705,0.473988,ec8e7ce7545b8bf47c324c770df63bfc86e5749910dd7c61285ffe4fe6b3e698
human-00098,human_context,closed_qa,6832,context,375,214,0.013441,0.418667,5a66778386181d5472c865da95ac6a44e1fd15bcdb52fa945a6743cda4e68d74
human-00099,human_context,summarization,4894,context,171,114,0.0,0.397661,74f2abe727f9dd1b721d9d4fd8ca0e30c9f5c4089bd0f6aef2cf343f8313e712
human-00100,human_context,closed_qa,10679,context,2505,949,0.033573,0.314172,8cb9dbbe36b547c6b9a30c1e532e2c808bd24c033e5e5ad5f1182ba208dee2c9
human-00101,human_response,general_qa,13279,response,135,84,0.015152,0.496296,845fe9fcc59b17c2df419c2e45491559143e0dd77586c8b45bd03c9119c36e13
human-00102,human_response,information_extraction,6833,response,467,261,0.008621,0.357602,6d4bbc034eda5f83dea097dc669762c86db3d7524b638f37443b1569b0b03f98
human-00103,human_response,open_qa,10747,response,490,273,0.002053,0.346939,7069a067c9bf9fdcc82125966d09e9054abd185e128e55d8d871df7c0415dad3
human-00104,human_context,closed_qa,12659,context,2011,735,0.049801,0.326206,774c61a81cff0ffedf60c3f942ad9f6a690b59c94cd2d380321d227113e9fee9
human-00105,human_response,classification,13555,response,180,100,0.00565,0.455556,4dcd77ee99423f5a010838eef7de1e7ab986575eba85e9cdaa0e8d14423261f7
human-00106,human_context,information_extraction,271,context,139,91,0.007353,0.417266,398b1ae430d8f6edf716110741d923532a4eedc80080d161374f79229086b9a1
human-00107,human_response,creative_writing,587,response,178,91,0.017143,0.533708,65ff9e6fb031452d643b9d958d79ee06e3c34fd918e65ea9ebac457f44ec5909
human-00108,human_context,closed_qa,8114,context,425,241,0.018957,0.376471,1e34dc6bfb9026fa86e826c6b31b765d486b654dbb473d2627aca9ce22a7d571
human-00109,human_context,closed_qa,2182,context,161,93,0.012658,0.515528,505c615f2a6727d75c1eb7a904fdac48b0716584c49539c3135c71e2273ecb54
human-00110,human_response,creative_writing,1447,response,190,116,0.0,0.442105,5ff0c6d5a38c4141a6bd6288321c5c080f30c4c23c2e778fb3cd8225c9bdfa78
human-00111,human_context,summarization,77,context,129,98,0.0,0.379845,41fd3d8128c16e1fdac5ed7d3169acbb6d3ee40eb30a9d6bb87630be8a9d5ea1
human-00112,human_context,summarization,8530,context,191,122,0.0,0.413613,70dfe371e1cf15d6a104fa76ec46e4cc05892b4858a6d52de3d236546585b377
human-00113,human_response,brainstorming,7780,response,139,76,0.125,0.597122,0df49c0183b389c65d4739c66fe8499a6847094fd7bee53386808a8eb633af9c
human-00114,human_response,general_qa,4170,response,216,127,0.004695,0.439815,ebd441d1e70207f89f2c629242e422c0e4ef67dea4c6635544b9b8eb367b010c
human-00115,human_response,open_qa,5139,response,495,147,0.134146,0.606061,8ccfc4b747a8f93c524b9f998be5b2e5b65bcecc080bfa8cd7d8dac0b43e0c6c
human-00116,human_context,closed_qa,4147,context,352,185,0.025788,0.409091,c0ea4b26aaa1c34a85876c14ca00df404c61c8f00f3b63be6933149ab887b02a
human-00117,human_response,summarization,6576,response,135,81,0.068182,0.548148,e68f03a3eca98a9599ff241990ab108c1ba9c943517b6be18181bb6f9cbd223a
human-00118,human_response,summarization,1743,response,182,123,0.0,0.379121,c755d3ae41fd17bb551e660ec7b4abe3faa2299b63851acf8899f89f88cf40f1
human-00119,human_response,general_qa,10920,response,136,81,0.0,0.514706,d484937e42e179bbe3c083014a4f2c6e0c333678eac924bc19f4730b41cc8d26
human-00120,human_response,classification,6084,response,148,67,0.296552,0.466216,4d393e0ba4133f812f33b64762c641630175bc618171c1faad018d2d5a3219e1
human-00121,human_response,general_qa,10029,response,161,92,0.018987,0.496894,be1566c6b7799b672cb2a622de958108e7b137124cdbf93bae875ccbe7a5a4a8
human-00122,human_context,information_extraction,5844,context,292,184,0.0,0.380137,f865eec20805cdad73049cd161bd06e167107932254d49d5473d0c96a4f5a1c0
human-00123,human_context,closed_qa,11397,context,253,154,0.0,0.41502,d3b5d5aca37076da6c76cec71a87c757be6af0957b74de88c55ee82f2a2ee76f
human-00124,human_response,summarization,3056,response,170,117,0.0,0.429412,c910760e14d0e3c5998e4f51496836f4f2448d87f88880afc95cdc6a17633caa
human-00125,human_context,summarization,9295,context,573,309,0.003509,0.378709,af0d65459648fb0045606ae9b5f03a78a5919d4740eae76a051aa8bc312d5c76
human-00126,human_context,summarization,8717,context,973,389,0.025773,0.379239,4c9302393f31623fd8b25079492647934e611414df077ff8a8da2681c7ee89ee
human-00127,human_context,information_extraction,10401,context,1133,495,0.011504,0.359223,5c57757afb3277845953cc902dcd45c931e66b66613239b0d2a9fb9ea063e64e
human-00128,human_context,closed_qa,1206,context,223,125,0.013636,0.479821,ee5cd9a4c48219efed3ae1e58bdf1052ff22e8ef6d818548a2c51900c85dd491
human-00129,human_context,closed_qa,13717,context,131,65,0.023438,0.625954,5b6caf5825f934f9e87fe1a3a543f3d327b40f4a028207083552ca8cbf05efce
human-00130,human_response,open_qa,7559,response,129,87,0.0,0.465116,b82acb16122c1fdaa4241092237f765917233de01e3e874d943f0ced7fc9cc15
human-00131,human_response,open_qa,4156,response,164,94,0.037267,0.481707,9999440d7fabeef000cfc0de757db74528a9ba33d8ecee1edc1ff0dd623efe38
human-00132,human_context,summarization,9383,context,314,184,0.006431,0.378981,a3554a2c2b34ba0e628955888fed5f7272f23541b7a7bb4cd44038d57927aa9f
human-00133,human_response,general_qa,13530,response,161,99,0.006329,0.447205,e23e2f097331d7319281d7d1e0ca8a255d0a658ae4ed61dbc7873fda6ba292a6
human-00134,human_response,creative_writing,12168,response,144,96,0.028369,0.409722,df1a54bc467636ccef1b6a7054382ffcd6e6400cd837b6b14c456c4b99df188c
human-00135,human_response,creative_writing,11130,response,172,100,0.0,0.5,ff3cccf66111d2f86acd6035e41e9eec7760396ce761db32c4c556aeeba7bda3
human-00136,human_response,general_qa,8544,response,328,200,0.0,0.341463,4f335adb4ca974e06469053048220ab86f1ffa1fb313f2213c9053dbac4356a3
human-00137,human_context,closed_qa,12310,context,218,133,0.004651,0.426606,596ea010ef02e334d3b3790089c566622bc1f7a781cf15bfa50aa8e5ba02b63c
human-00138,human_response,creative_writing,7906,response,211,97,0.004808,0.549763,5eec7f3f3f67b12cbde8b8de487c5efd5698de159f8a108a893c8c60f83ac890
human-00139,human_context,summarization,9433,context,228,141,0.004444,0.394737,34ff20e6ea62086da91a3dd34db13111be8c3dba1dfc5b8c2c695f15a6b66a5f
human-00140,human_context,information_extraction,7121,context,511,226,0.047244,0.377691,961d06c9e20c990e304e3282b1a56ef2bb3737865fe16696eff329b16a3eec2e
human-00141,human_context,information_extraction,10301,context,316,175,0.051118,0.420886,9ec9b16ebab24a68dd9cd84c5dbbc6bcc44da602d6652cae9e37a0105b2040e6
human-00142,human_response,brainstorming,10583,response,277,87,0.156934,0.729242,92fee871f09a02bed79aa12c8c5972d945c7124e3f4437f999d28da72d42a646
human-00143,human_context,summarization,299,context,154,90,0.039735,0.454545,894bd36c177e93ba9e90f19a6798d2c1e2ab3cca485ae36051ac18c2a1ef7702
human-00144,human_context,closed_qa,13216,context,176,105,0.0,0.454545,75b9839281c1a1a76035699ad54647ee67765cb386c0631e1e132e2ba16dc430
human-00145,human_response,summarization,9589,response,153,78,0.026667,0.568627,013aaba73ad688e185a3e2036cc67911cc9b0db49e58c5038297217f3d159009
human-00146,human_response,general_qa,5617,response,168,105,0.006061,0.446429,aa1fe81b78e5738b679e05faecb647dc7aeb418e2a3cb3729edcc73f24667f34
human-00147,human_context,closed_qa,14732,context,250,150,0.036437,0.412,1d7a2c080bb02a01e7758ec865da5c34c776e46840eecd2125fe056111720c5d
human-00148,human_context,closed_qa,8359,context,296,152,0.020478,0.39527,6b10cbf3cc5bccd4bad2002df8cc12e9e7b24fb1321b58e8aceeb4ebe1a69296
human-00149,human_response,general_qa,958,response,170,100,0.0,0.5,020d82fff7b1e5b759954cacd94d7f7c376266e17bdd39da3386d625e9450920
human-00150,human_context,closed_qa,14054,context,364,197,0.024931,0.428571,bfeb3d8b10704ef85590b27413228fe02b78db37b471fb0526e6586260e39805
human-00151,human_response,brainstorming,5593,response,154,102,0.0,0.467532,b0de397b2ca964cafc6f80137061b70d9d365b8f5becf80c92e55f9c24736653
human-00152,human_response,open_qa,13259,response,196,112,0.036269,0.469388,c8e1ea079a97f9a3e64f6f4de08031324ef57502578b035496f845c27b343630
human-00153,human_response,summarization,7915,response,151,92,0.006757,0.483444,d653d721e10262c392814fa1f7d4f196d78165959fa0d53f5bb1565426c8150a
human-00154,human_response,creative_writing,7573,response,138,81,0.007407,0.528986,de313fa3aa8b2f6b33926af466f690516717a3e1ff65a8f68d6a2fa86a9b7802
human-00155,human_context,summarization,6810,context,197,121,0.0,0.390863,565579b66b1688f72a903154f05c89c08c2609fcfb78a3ef5843cabf3e966a4c
human-00156,human_response,brainstorming,6998,response,137,70,0.029851,0.576642,534e753d9ab32c8eb87cd9826471827c416c33d8158941cf6bb1a451f13fc3dd
human-00157,human_response,general_qa,4128,response,130,76,0.023622,0.553846,bc7c093079c4fe6694c1bac56692636a25d0bf264d1b33e3a806c396a667af1f
human-00158,human_response,open_qa,8646,response,359,192,0.016854,0.406685,4b0afc36b4b29f9bd1fff9569c698ebd2ce3ac0c95121a4d9712cd741f60e5c0
human-00159,human_response,open_qa,12923,response,187,111,0.021739,0.465241,3eb6debca43ce4a6d2e0222396935d986d5ac33ebe57a3ba75690e02ff4424ea
human-00160,human_context,summarization,7277,context,134,91,0.007634,0.470149,4f0eaa4e46b6804cb8effc30fa11f8f963b390306436f4b25bbdbb9c6508e6cb
human-00161,human_context,information_extraction,5342,context,178,114,0.005714,0.426966,c01dc74b661255cf37c23698017c84659521e07cd7bd3ee0fd7f22473fd318cc
human-00162,human_context,summarization,13489,context,242,102,0.079498,0.590909,bca6f3229fb11b7376d935d525c5cb4c20b8ed9c256f4b9f73d68eda3bdf835c
human-00163,human_response,open_qa,4661,response,199,118,0.020408,0.442211,93ffb84376dde932b84a22f5c2820e458648bdb58c78ece9a6a83c5c46bd786e
human-00164,human_context,information_extraction,2896,context,518,244,0.015534,0.418919,649272df3d64817abbdd036132fc6a277065168addb56de61a1c75cb64a957cb
human-00165,human_context,information_extraction,2095,context,150,90,0.013605,0.513333,700efc3b542530d4c7df452bd9598f20183a7215bce9c2ff485a790158ccb2e3
human-00166,human_context,information_extraction,2821,context,185,77,0.082418,0.594595,873f0bca5a24f8917d44218091f129037b6947c252cb69f4d9cb012c2f0f95cb
human-00167,human_context,summarization,11146,context,133,84,0.046154,0.473684,d035dc8557e1eace428654b41545effd9bdf1ced3a291e6476cb53c0be8e9fab
human-00168,human_context,information_extraction,4716,context,265,127,0.049618,0.501887,ff4e140d7b8206c89ec7b1fa404dbdfefc5893221d775c41f67d3f9f7e0a7959
human-00169,human_response,open_qa,9769,response,166,106,0.02454,0.427711,de1c898f9a07a30fc76f9d7ec1688401ed9102eaea9ea1830672955e76e5d80a
human-00170,human_response,summarization,14109,response,254,143,0.027888,0.429134,a2909232a26e4933b0b67a5e7d947994b26236b3541258e2d12022bc831575ba
human-00171,human_response,creative_writing,5814,response,319,152,0.053797,0.492163,14f3bbd57bb2b2581203457028977a9f4b8e3452a4ae6384521eaad633319f38
human-00172,human_response,creative_writing,7137,response,148,93,0.013793,0.506757,1fd2d7996afcd9d4e3ed9ea3f0009309092c9493197acc422e643e7889f40175
human-00173,human_context,closed_qa,4614,context,223,124,0.05,0.457399,818b39a159793478bbdfdf865832581926c5b07eccad1f5c108705a396d9bb1a
human-00174,human_response,open_qa,6829,response,129,96,0.0,0.410853,3f75a08ce28346969630e7bfcecfd0830e395f43b97a48669c997dae909dca2c
human-00175,human_context,information_extraction,7965,context,198,83,0.107692,0.641414,474816b3794ce574f37a546526e01280db5b9fe5bab1fa6b5bc54ed42d694af9
human-00176,human_context,closed_qa,13049,context,174,112,0.0,0.465517,0890b91406488f3fff8f8388abbb7994536d3c987017cb9cb07a421334d9c499
human-00177,human_response,open_qa,6743,response,250,138,0.004049,0.456,0f8136a687da335a22e0bf7a3fa73711495738eb1ad19ebdbe3bcc0ffc9e0f83
human-00178,human_context,closed_qa,1837,context,177,104,0.005747,0.435028,a0e97999943deebb3a214a90802ad2bfa8094d2f823d5949a114253415a0e79d
human-00179,human_response,brainstorming,7874,response,278,122,0.018182,0.510791,f387d24eb384c8e977efca0e0987a25b2c5583159bddfcedbf3b723ff44a60e1
human-00180,human_context,information_extraction,10751,context,219,135,0.027778,0.392694,f58ed2facbe163de85ba655902dfb05c9e8a32124589af470a23fddba7b1b0d3
human-00181,human_response,general_qa,375,response,141,92,0.0,0.453901,8564e25d96accd72c1f36496c96cbd34c05984342f5b688cdf456b3a92af5a0e
human-00182,human_context,closed_qa,3463,context,205,125,0.009901,0.409756,090bbf609c9dc6cc78ac470e37c5883ba2ea746aef07fb79606f01ae4172e03b
